energy/keV,photon flux/(phs/s/keV/cm2)
10.9050,857.6535097161026
10.9150,851.9942139676418
10.9250,846.3832553124691
10.9350,840.7867202633333
10.9450,835.2371034048974
10.9550,829.7419650719236
10.9650,824.2505514048921
10.9750,818.8076605143790
10.9850,813.4143036426940
10.9950,808.8395925897381
11.0050,803.3473649340623
11.0150,797.9437059019421
11.0250,792.3872705772070
11.0350,786.8870339452402
11.0450,781.8584354093325
11.0550,776.9199322632413
11.0650,771.3856647391988
11.0750,766.2886137083059
11.0850,761.2221227114283
11.0950,756.1892725695967
11.1050,751.1894090722086
11.1150,746.2220885925989
11.1250,741.2870536365664
11.1350,736.4193556451961
11.1450,731.8766072342593
11.1550,726.7855561255055
11.1650,721.8668681808115
11.1750,717.0908784217138
11.1850,712.3456234251709
11.1950,707.6312361644046
11.2050,702.9475873598311
11.2150,698.2948681458230
11.2250,693.6719938302660
11.2350,689.0793361862292
11.2450,684.5866847396660
11.2550,680.1999339066506
11.2650,675.8416778172574
11.2750,671.5106223248069
11.2850,667.2071565830619
11.2950,662.9310232042159
11.3050,658.6824774586855
11.3150,654.4606908394256
11.3250,650.2656510754665
11.3350,646.0973627526879
11.3450,641.9555099704550
11.3550,637.8404650911315
11.3650,633.7512714310627
11.3750,629.6879920562981
11.3850,625.6510745277329
11.3950,621.6469314311533
11.4050,617.8204392377821
11.4150,613.7111124624557
11.4250,609.7574013910686
11.4350,605.8470234122865
11.4450,601.9614633793050
11.4550,598.1006562389372
11.4650,594.2644087802412
11.4750,590.4530457252603
11.4850,586.6654661616186
11.4950,582.9020589231460
11.5050,579.1626949014043
11.5150,575.4474424349524
11.5250,571.7555852780226
11.5350,568.0871917987968
11.5450,564.4421969908152
11.5550,560.8207921788090
11.5650,557.2220844078436
11.5750,553.6463509130031
11.5850,550.0933395836213
11.5950,546.5630866055279
11.6050,543.0555809745941
11.6150,539.5701860488988
11.6250,536.1069329836528
11.6350,532.6658849796194
11.6450,529.2469820321181
11.6550,525.8495725304733
11.6650,522.4739169054067
11.6750,519.1200191934984
11.6850,515.7872599477980
11.6950,512.4757393544749
11.7050,509.1853284023209
